sec,zuice,zuice_sale,tier,description
3600,2,2,bronze,1
7200,4,4,bronze,2
14400,8,8,bronze,4
28800,16,16,bronze,8
57600,32,32,bronze,16
115200,64,64,bronze,32
230400,128,128,bronze,64
460800,256,256,bronze,128
921600,512,512,bronze,256
1843200,1024,1024,bronze,512
3600,19,19,silver,1
7200,38,38,silver,2
14400,76,76,silver,4
28800,152,152,silver,8
57600,304,304,silver,16
115200,608,608,silver,32
230400,1216,1216,silver,64
460800,2432,2432,silver,128
921600,4864,4864,silver,256
1843200,9728,9728,silver,512
3600,49,49,gold,1
7200,98,98,gold,2
14400,196,196,gold,4
28800,392,392,gold,8
57600,784,784,gold,16
115200,1568,1568,gold,32
230400,3136,3136,gold,64
460800,6272,6272,gold,128
921600,12544,12544,gold,256
1843200,25088,25088,gold,512
3600,99,99,platinum,1
7200,198,198,platinum,2
14400,396,396,platinum,4
28800,792,792,platinum,8
57600,1584,1584,platinum,16
115200,3168,3168,platinum,32
230400,6336,6336,platinum,64
460800,12672,12672,platinum,128
921600,25344,25344,platinum,256
1843200,50688,50688,platinum,512
3600,199,199,diamond,1
7200,398,398,diamond,2
14400,796,796,diamond,4
28800,1592,1592,diamond,8
57600,3184,3184,diamond,16
115200,6368,6368,diamond,32
230400,12736,12736,diamond,64
460800,25472,25472,diamond,128
921600,50944,50944,diamond,256
1843200,101888,101888,diamond,512
