key,type,Korean,English,설명위치
ingame_holdem_straddle,0,스트래들,Straddle,
ingame_holdem_fold,0,폴드,Fold,
ingame_holdem_ante,0,앤트,Ante,
ingame_holdem_die,0,폴드,Fold,
ingame_holdem_check,0,체크,Check,
ingame_holdem_call,0,콜,Call,
ingame_holdem_raise,0,레이즈,Raise,
ingame_holdem_bet,0,벳,Bet,
ingame_holdem_allin,0,올인,All-in,
ingame_holdem_max,0,맥스,Max,
ingame_holdem_foldcheck,0,폴드/체크,Fold/Check,
ingame_holdem_confirm,0,확인,Confirm,
ingame_holdem_big,0,BB,BB,
ingame_holdem_small,0,SB,SB,
ingame_holdem_pb,0,PB,PB,
ingame_holdem_winner,0,우승,Winner,
SYS_PUB_SRV_SETTING,0,서버 설정중,Setting up the publisher server...,
SYS_GAME_VER_INFO_CHECKING,0,게임 버전 정보 확인 중…,Retrieving version information...,
SYS_GAME_UPDATE_INFO_CHECKING,0,게임 업데이트 정보 확인 중...,Checking for updates...,
SYS_GAME_MAINTAIN_INFO_CHECKING,0,게임 점검 정보 확인 중...,Checking maintenance schedules...,
SYS_GAME_SRV_CONNECTING,0,게임 서버에 연결 중...,Connecting to the server...,
SYS_ERR_NETWORK,0,네트워크 에러,Network error,
SYS_ERR_GAME,0,게임 에러,Game client error,
SYS_INVALID_CLIENT_VER_LOW,0,클라이언트의 버전이 최신버전이 아닙니다.\n스토어에서 업데이트를 진행해주세요.,Your client is not up-to-date. \n Please update application and restart.,
SYS_INVALID_CLIENT_VER_HI,0,아직 업데이트 되지 않은 버전입니다.,A version that has not been updated.,
SYS_ERR_CLIENT_VER_CHECK,0,버전 체크중 오류가 발생했습니다.,Could not retrieve version information.,
SYS_ERR_OVER_LIMIT_PURCHASE_MONTHLY,0,월 구매 한도 초과,Reached monthly purchase limit,
SYS_CANT_PURCHASE_COZ_LIMIT_MONTHLY,0,"월 구매 한도를 초과하여 결제를 진행 하실 수 없습니다.\n\n* 월 구매한도는 매월 01일 오전 12시를 기준으로 초기화 됩니다.\n\n이번달 누적 결제금액: {0:0,000}원\n남은 구매 가능 금액: {1:0,000}원","You have reached the monthly purchase limit. Additional purchases are restricted. \n\n* Cumulative purchases are initialized on the first day of the month.\n\n Monthly Cumulative Purchase: {0:0,000}KRW\n Remaining Purchase Limit: {1:0,000}KRW",
SYS_ERR_OVER_LIMIT_LOSS_DAILY,0,1일 손실 한도 초과,Reached daily loss limit,
SYS_EXIT_CLIENT_COZ_OVER_LIMIT_LOSS_DAILY,0,1일 손실 한도를 초과하여 게임을 이용하실 수 없어 게임을 종료합니다.n\n일 사용 한도 금액: {0} 코인,Game will be terminated because you have reached the daily loss limit.\n\n Monthly loss limit: {0} billion coins,
SYS_ERR_COZ_CANT_CONNECT_OVER_LIMIT_LOSS_DAILEY,0,1일 손실 한도를 초과하여 접속하실 수 없습니다. \n이용제한 남은시간:{0},You cannot access the game because you have reached the daily loss limit.\nRemaining time:{0},
